# masse: 1
# raumintervall: 1000
# zeitintervall: 1000
# zeitpunkte: 1000
# raumpunkte: 1000
# ordnung: 1
# Präzision: f64
# Wiederholungen: 1
# Zeitpunkte Änderung: 10 Gesamtmessungen: 1
# Raumpunkte Änderung: 10 Gesamtmessungen: 1
# Ordnung Änderung: 1 Gesamtmessungen: 1000
# Masse Änderung: 10 Gesamtmessungen: 1
# Plotte:
#Masse Ordnung Zeitpunkte Raumpunkte Zeit mittel_abw_betr_num_anal  mittel_betr_anal norm_betr_num

1 62 1000 1000 1000 0.0001778629474137605 0.028702990402445838 0.999999999947786 
1 63 1000 1000 1000 0.0001950469565995059 0.028605894122680407 0.9999999999382619 
1 64 1000 1000 1000 0.00022461781140897637 0.02858338190813428 0.9999999999232522 
1 65 1000 1000 1000 0.000250684703323802 0.0286338919410541 0.999999999895404 
1 66 1000 1000 1000 0.0002678367520749373 0.028376431581222734 0.999999999884979 
1 67 1000 1000 1000 0.0003279775319012728 0.028327705367335115 0.9999999998372077 
1 68 1000 1000 1000 0.0003766158653324281 0.02813388815299631 0.9999999997928828 
1 69 1000 1000 1000 0.0004127450987857275 0.028217029881714793 0.9999999997555461 
1 70 1000 1000 1000 0.00042621706372854317 0.02829103605847035 0.9999999997298967 
1 71 1000 1000 1000 0.0004509845347179029 0.02819569099988458 0.9999999997144506 
1 72 1000 1000 1000 0.0004956259745924152 0.028025447000527254 0.9999999996322063 
1 73 1000 1000 1000 0.0005103626005841921 0.028188723384307238 0.9999999995895045 
1 74 1000 1000 1000 0.0005865522790521584 0.028425076408140536 0.9999999995024539 
1 75 1000 1000 1000 0.0006144730114505188 0.02808362715143222 0.9999999993989167 
1 76 1000 1000 1000 0.0007119584013479493 0.028047193419840008 0.9999999992553635 
1 77 1000 1000 1000 0.0007670201803743497 0.0280107289276536 0.9999999991037949 
1 78 1000 1000 1000 0.0007933943650114524 0.027793986633756006 0.999999998930677 
1 79 1000 1000 1000 0.000905141011173607 0.028078033240730157 0.9999999987433359 
1 80 1000 1000 1000 0.0008607179625547044 0.027749788927337482 0.9999999985291645 
1 81 1000 1000 1000 0.0009489173757336166 0.02787577154858817 0.999999998434791 
1 82 1000 1000 1000 0.0010353012729630978 0.027889188807218294 0.9999999982120196 
1 83 1000 1000 1000 0.001070602892280648 0.02785327329522372 0.9999999980836204 
1 84 1000 1000 1000 0.0011289008082189882 0.027981039188591822 0.999999997790674 
1 85 1000 1000 1000 0.0011948198242919131 0.02792411369564011 0.9999999975221825 
1 86 1000 1000 1000 0.0013063373049761928 0.027973598263932194 0.9999999971765249 
1 87 1000 1000 1000 0.0013768270853808805 0.027899713135733212 0.9999999967891885 
1 88 1000 1000 1000 0.0014865840033204344 0.028100485082595373 0.9999999961953933 
1 89 1000 1000 1000 0.0016797274113004666 0.02807007351498966 0.9999999953158281 
1 90 1000 1000 1000 0.0017781280523780476 0.028273520743745426 0.9999999946102169 
1 91 1000 1000 1000 0.001872440752628044 0.027911240712708823 0.9999999936743789 
1 92 1000 1000 1000 0.002071393087467791 0.02797282484890861 0.9999999923064311 
1 93 1000 1000 1000 0.0020536168711480446 0.028138389778702144 0.9999999919818042 
1 94 1000 1000 1000 0.002224265260258748 0.02806005177259326 0.9999999901934927 
1 95 1000 1000 1000 0.00232029966980992 0.027850264282504412 0.9999999889005242 
1 96 1000 1000 1000 0.0025042871282278836 0.02817317801468616 0.9999999877846181 
1 97 1000 1000 1000 0.002597186424148947 0.028296927489166197 0.9999999865882273 
1 98 1000 1000 1000 0.002768945596765978 0.028107447803489016 0.9999999841079878 
1 99 1000 1000 1000 0.0028441197555594613 0.028197372127963596 0.9999999836370914 
1 100 1000 1000 1000 0.002852061992549394 0.028211183842421043 0.9999999822433993 
1 101 1000 1000 1000 0.002978116353347814 0.02839652448712558 0.9999999805174563 
1 102 1000 1000 1000 0.00310872592756008 0.028299057556952983 0.9999999781991872 
1 103 1000 1000 1000 0.0033122588692333765 0.02819025448561342 0.999999975939207 
1 104 1000 1000 1000 0.0034625514329640044 0.02844664976939061 0.9999999718377587 
1 105 1000 1000 1000 0.0036815794444495097 0.02856864344152935 0.9999999663306156 
1 106 1000 1000 1000 0.0038341078148898247 0.02853716977462214 0.9999999626246746 
1 107 1000 1000 1000 0.004081169758625154 0.02851763019871506 0.99999995826678 
1 108 1000 1000 1000 0.004331370097828205 0.028622678385435682 0.9999999508771831 
1 109 1000 1000 1000 0.004266495944230729 0.02857259033241941 0.999999946552925 
1 110 1000 1000 1000 0.0045673508203293665 0.028514736527274476 0.9999999386021411 
1 111 1000 1000 1000 0.0047647143014797975 0.028522841964581633 0.9999999307272207 
1 112 1000 1000 1000 0.004995198601773337 0.028500238701901954 0.9999999222936136 
1 113 1000 1000 1000 0.005027084519923511 0.02851473086122732 0.999999919869156 
1 114 1000 1000 1000 0.0051387170164251 0.028610653550636727 0.9999999169159294 
1 115 1000 1000 1000 0.00536493751446179 0.02844037342016705 0.9999999049047037 
1 116 1000 1000 1000 0.0055894254847204524 0.028417135922017365 0.9999998914370208 
1 117 1000 1000 1000 0.005856580354267215 0.028353694139572685 0.9999998793541093 
1 118 1000 1000 1000 0.0060782262538780895 0.028567711863738462 0.9999998733797748 
1 119 1000 1000 1000 0.005914224359970842 0.02835135584082956 0.9999998696806147 
1 120 1000 1000 1000 0.006324787050971103 0.02844410715636253 0.9999998569977232 
1 121 1000 1000 1000 0.006217580831507012 0.0283656506146901 0.9999998529649801 
1 122 1000 1000 1000 0.006474274689980752 0.02844037589492006 0.9999998402184443 
1 123 1000 1000 1000 0.006717482806950146 0.02837327818214301 0.9999998263468504 
1 124 1000 1000 1000 0.0065945184791325225 0.028347029692269578 0.9999998210540658 
