# masse: 1
# raumintervall: 1000
# zeitintervall: 50
# zeitpunkte: 100
# raumpunkte: 500
# ordnung: 100
# Plotte Raumpunkte Zeitpunkte Quadabw

500 100 100.20445847754529
600 100 83.47428469121499
700 100 76.53457079519471
800 100 67.65747686551411
900 100 60.541208858555294
1000 100 55.15461983203534
1100 100 50.251886384100814
1200 100 46.47575389896386
1300 100 43.15924048198964
1400 100 40.405639733695764
1500 100 38.11090318467634

500 110 107.64758163013269
600 110 93.21185798878815
700 110 82.45525184622687
800 110 72.9623218302821
900 110 62.99027004742303
1000 110 55.154889061804745
1100 110 50.252288301637115
1200 110 46.47639767287976
1300 110 43.16000111411451
1400 110 40.40661567680491
1500 110 38.112061210808776

500 120 107.64766259454215
600 120 93.21199248185606
700 120 82.45555213608827
800 120 72.96295961542984
900 120 62.990697150129954
1000 120 55.155063270875445
1100 120 50.25257451114107
1200 120 46.47686341065781
1300 120 43.16050403344961
1400 120 40.407295654776306
1500 120 38.11306020857691

500 130 107.64771855610113
600 130 93.2120880447754
700 130 82.45576900837152
800 130 72.96343981300997
900 130 62.99097706502535
1000 130 55.15517522599447
1100 130 50.25279379815383
1200 130 46.47721460423927
1300 130 43.16084920358798
1400 130 40.40777355497869
1500 130 38.11382486702136

500 140 107.64775729819591
600 140 93.21215687168308
700 140 82.45592940255622
800 140 72.96381153338038
900 140 62.99116197931506
1000 140 55.1552460964499
1100 140 50.252966139126585
1200 140 46.47748617904836
1300 140 43.16109740183791
1400 140 40.408115718717376
1500 140 38.11440033892478
 
