# masse: 1
# raumintervall: 10000000000000000000
# zeitintervall: 1e+35
# zeitpunkte: 100
# raumpunkte: 1000
# ordnung: 50
# Präzision: f32
# Wiederholungen: 1
# Zeitpunkte Änderung: 100 Gesamtmessungen: 10
# Raumpunkte Änderung: 1 Gesamtmessungen: 0
# Ordnung Änderung: 20 Gesamtmessungen: 1
# Masse Änderung: 1 Gesamtmessungen: 1
# Plotte:
#Masse Ordnung Zeitpunkte Raumpunkte Zeit mittel_abw_betr_num_anal  mittel_betr_anal norm_betr_num

1 50 100 1000 9.999999999999978e+34 NaN 2.830081446969501e-10 NaN 
1 50 200 1000 1e+35 NaN 2.830081446969501e-10 NaN 
1 50 300 1000 9.99999999999997e+34 NaN 2.830081446969501e-10 NaN 
1 50 400 1000 1.0000000000000072e+35 NaN 2.830081446969501e-10 NaN 
1 50 500 1000 9.999999999999965e+34 NaN 2.830081446969501e-10 NaN 
1 50 600 1000 1.0000000000000057e+35 NaN 2.830081446969501e-10 NaN 
1 50 700 1000 1.0000000000000018e+35 5683.39892578125 2.830081446969501e-10 3.788419636333938e+26 
1 50 800 1000 9.999999999999983e+34 2.231898259957843e-12 2.830081446969501e-10 1.000022053718567 
1 50 900 1000 9.999999999999762e+34 2.249439566906486e-12 2.830081446969501e-10 0.9999634027481079 
1 50 1000 1000 1.0000000000000118e+35 2.2571981176527922e-12 2.830081446969501e-10 1.000515341758728 
