# masse: 1
# raumintervall: 1000
# zeitintervall: 1000
# zeitpunkte: 1000
# raumpunkte: 1100
# ordnung: 50
# Präzision: f32
# Wiederholungen: 1
# Zeitpunkte Änderung: 10 Gesamtmessungen: 1
# Raumpunkte Änderung: 1 Gesamtmessungen: 100
# Ordnung Änderung: 20 Gesamtmessungen: 1
# Masse Änderung: 10 Gesamtmessungen: 1
# Plotte:
#Masse Ordnung Zeitpunkte Raumpunkte Zeit mittel_abw_betr_num_anal  mittel_betr_anal norm_betr_num

1 50 1000 1100 1000 0.00017831394507084042 0.028300311416387558 1.0000001192092896 
1 50 1000 1101 1000 0.00017798806948121637 0.02830011397600174 1.0000007152557373 
1 50 1000 1102 1000 0.00017767267127055675 0.028300432488322258 1.0000001192092896 
1 50 1000 1103 1000 0.00017734662105794996 0.02830079384148121 0.9999995827674866 
1 50 1000 1104 1000 0.00017702826880849898 0.02830100804567337 0.9999995827674866 
1 50 1000 1105 1000 0.00017669345834292471 0.02830108441412449 1.0000001192092896 
1 50 1000 1106 1000 0.00017638645658735186 0.028300948441028595 1.0000003576278687 
1 50 1000 1107 1000 0.00017607233894523233 0.028300730511546135 0.9999995827674866 
1 50 1000 1108 1000 0.0001757534482749179 0.02830035425722599 0.9999996423721313 
1 50 1000 1109 1000 0.00017542930436320603 0.02830014005303383 1.000001311302185 
1 50 1000 1110 1000 0.00017511151963844895 0.028300408273935318 1.0000004768371582 
1 50 1000 1111 1000 0.00017480450333096087 0.028300786390900612 0.9999998807907104 
1 50 1000 1112 1000 0.00017448248399887234 0.028300965204834938 1.0000007152557373 
1 50 1000 1113 1000 0.0001741763117024675 0.028301071375608444 1 
1 50 1000 1114 1000 0.00017384965030942112 0.028300952166318893 0.9999997615814209 
1 50 1000 1115 1000 0.00017353361181449145 0.0283008124679327 1.0000008344650269 
1 50 1000 1116 1000 0.0001732431264827028 0.02830049768090248 0.9999992251396179 
1 50 1000 1117 1000 0.00017292529810220003 0.028300173580646515 1.0000001192092896 
1 50 1000 1118 1000 0.00017261801986023784 0.02830035611987114 1.0000004768371582 
1 50 1000 1119 1000 0.00017232022946700454 0.02830071747303009 1.0000007152557373 
1 50 1000 1120 1000 0.00017199399007949978 0.028300907462835312 0.9999997019767761 
1 50 1000 1121 1000 0.00017169352213386446 0.028301069512963295 0.9999991059303284 
1 50 1000 1122 1000 0.00017139088595286012 0.02830100990831852 1.000000238418579 
1 50 1000 1123 1000 0.0001711002114461735 0.028300855308771133 1.0000007152557373 
1 50 1000 1124 1000 0.00017077791562769562 0.028300531208515167 0.9999997019767761 
1 50 1000 1125 1000 0.00017047379515133798 0.02830018661916256 1.0000003576278687 
1 50 1000 1126 1000 0.0001701708388281986 0.0283003281801939 0.999999463558197 
1 50 1000 1127 1000 0.0001698621636023745 0.02830069325864315 1.000000238418579 
1 50 1000 1128 1000 0.00016957327898126096 0.02830095961689949 0.9999997615814209 
1 50 1000 1129 1000 0.00016926969692576677 0.028301093727350235 1.0000007152557373 
1 50 1000 1130 1000 0.00016897394380066544 0.02830103412270546 0.9999995827674866 
1 50 1000 1131 1000 0.00016866462829057127 0.028300894424319267 1.0000004768371582 
1 50 1000 1132 1000 0.0001683772134128958 0.028300581499934196 0.9999993443489075 
1 50 1000 1133 1000 0.00016807630890980363 0.028300289064645767 1.0000005960464478 
1 50 1000 1134 1000 0.00016777744167484343 0.028300317004323006 0.9999998807907104 
1 50 1000 1135 1000 0.0001674811792327091 0.028300680220127106 1 
1 50 1000 1136 1000 0.0001671826175879687 0.028300883248448372 1.000000238418579 
1 50 1000 1137 1000 0.00016689437325112522 0.028301041573286057 1 
1 50 1000 1138 1000 0.0001666033931542188 0.028301037847995758 0.9999992251396179 
1 50 1000 1139 1000 0.00016630656318739057 0.028300924226641655 1.0000008344650269 
1 50 1000 1140 1000 0.00016602261166553944 0.02830069698393345 1 
1 50 1000 1141 1000 0.0001657292159507051 0.028300343081355095 1.0000004768371582 
1 50 1000 1142 1000 0.00016544196114409715 0.028300266712903976 1.000000238418579 
1 50 1000 1143 1000 0.0001651414204388857 0.028300587087869644 1 
1 50 1000 1144 1000 0.00016485186642967165 0.028300901874899864 0.9999997019767761 
1 50 1000 1145 1000 0.00016457059246022254 0.028301065787672997 1.0000003576278687 
1 50 1000 1146 1000 0.00016428445815108716 0.02830110304057598 1.0000005960464478 
1 50 1000 1147 1000 0.00016399026208091527 0.028300993144512177 1.0000004768371582 
1 50 1000 1148 1000 0.00016371227684430778 0.02830069698393345 1.0000003576278687 
1 50 1000 1149 1000 0.0001634214713703841 0.028300365433096886 0.9999997615814209 
1 50 1000 1150 1000 0.000163129938300699 0.028300238773226738 1.0000011920928955 
1 50 1000 1151 1000 0.000162867596372962 0.028300592675805092 0.9999997019767761 
1 50 1000 1152 1000 0.0001625706208869815 0.02830088697373867 1.0000007152557373 
1 50 1000 1153 1000 0.00016228572349064052 0.028301047161221504 1.0000001192092896 
1 50 1000 1154 1000 0.00016200277605094016 0.028301043435931206 1.0000008344650269 
1 50 1000 1155 1000 0.00016173864423763007 0.028300967067480087 0.9999991655349731 
1 50 1000 1156 1000 0.00016144828987307847 0.02830076590180397 1.0000003576278687 
1 50 1000 1157 1000 0.00016116435290314257 0.028300464153289795 0.9999997615814209 
1 50 1000 1158 1000 0.00016088795382529497 0.028300292789936066 0.9999997615814209 
1 50 1000 1159 1000 0.0001606146979611367 0.028300536796450615 1.0000001192092896 
1 50 1000 1160 1000 0.00016034131112974137 0.02830084040760994 1 
1 50 1000 1161 1000 0.0001600673422217369 0.028301037847995758 1.000001072883606 
1 50 1000 1162 1000 0.0001597878144821152 0.02830108068883419 1.000000238418579 
1 50 1000 1163 1000 0.0001595063367858529 0.028301049023866653 1.0000004768371582 
1 50 1000 1164 1000 0.00015924179751891643 0.028300821781158447 1 
1 50 1000 1165 1000 0.00015896714467089623 0.028300534933805466 0.999998927116394 
1 50 1000 1166 1000 0.000158691342221573 0.02830025739967823 0.9999991655349731 
1 50 1000 1167 1000 0.00015842208813410252 0.028300490230321884 0.9999992847442627 
1 50 1000 1168 1000 0.00015815519145689905 0.028300806879997253 1 
1 50 1000 1169 1000 0.00015788008749950677 0.028301017358899117 0.9999991655349731 
