# masse: 1
# raumintervall: 1000
# zeitintervall: 1000
# zeitpunkte: 1000
# raumpunkte: 10
# ordnung: 30
# Präzision: f64
# Wiederholungen: 1
# Zeitpunkte Änderung: 10 Gesamtmessungen: 1
# Raumpunkte Änderung: 10 Gesamtmessungen: 130
# Ordnung Änderung: 20 Gesamtmessungen: 4
# Masse Änderung: 10 Gesamtmessungen: 1
# Plotte:
#Masse Ordnung Zeitpunkte Raumpunkte Zeit mittel_abw_betr_num_anal  mittel_betr_anal norm_betr_num

1 30 1000 10 1000 0.03155206072779218 0.028712530617555163 0.6240467302257767 
1 30 1000 20 1000 0.03357234444299556 0.032875847880775064 1.0552616822866872 
1 30 1000 30 1000 0.023249026418057255 0.02819944254963805 0.9728453666314318 
1 30 1000 40 1000 0.01746683667834422 0.02894943932468391 0.9999999999999988 
1 30 1000 50 1000 0.012275197207543954 0.02856557909465807 0.999999999999998 
1 30 1000 60 1000 0.008883149022383645 0.028598909395992023 0.9999999999999953 
1 30 1000 70 1000 0.0067232435616616975 0.028540447375434902 0.9999999999999947 
1 30 1000 80 1000 0.005180526584261234 0.02856328794820755 0.9999999999999942 
1 30 1000 90 1000 0.004152082216426493 0.028630505558223725 0.9999999999999931 
1 30 1000 100 1000 0.00338109671049301 0.028575077170851504 0.999999999999992 
1 30 1000 110 1000 0.002805662966116674 0.02863324762478791 0.9999999999999928 
1 30 1000 120 1000 0.0023654384779655904 0.02861513886968799 0.9999999999999908 
1 30 1000 130 1000 0.0020182128894818 0.02862644654665341 0.9999999999999906 
1 30 1000 140 1000 0.0017438318297705812 0.02862206264230767 0.9999999999999908 
1 30 1000 150 1000 0.0015197706500348028 0.02863239934846327 0.9999999999999899 
1 30 1000 160 1000 0.0013375193328699934 0.02862652303971241 0.9999999999999915 
1 30 1000 170 1000 0.0011852661890606616 0.02862693713950871 0.9999999999999916 
1 30 1000 180 1000 0.001057636244104355 0.02863047235850093 0.9999999999999898 
1 30 1000 190 1000 0.0009496241957385337 0.02862470228162609 0.9999999999999887 
1 30 1000 200 1000 0.0008571459710660659 0.028627716195343107 0.9999999999999899 
1 30 1000 210 1000 0.0007777410692706924 0.02862496932346139 0.9999999999999902 
1 30 1000 220 1000 0.0007086848072536887 0.028628265113527087 0.99999999999999 
1 30 1000 230 1000 0.0006485066303904236 0.028625881059266 0.9999999999999908 
1 30 1000 240 1000 0.000595588083629762 0.028629763007436092 0.9999999999999897 
1 30 1000 250 1000 0.000548937404703279 0.02862954205004034 0.9999999999999887 
1 30 1000 260 1000 0.0005075714639938409 0.028629802185331583 0.9999999999999895 
1 30 1000 270 1000 0.0004706662178445431 0.028631528847226365 0.9999999999999901 
1 30 1000 280 1000 0.0004376572987726443 0.028630556695796828 0.9999999999999896 
1 30 1000 290 1000 0.0004079777651701707 0.028631948467423632 0.9999999999999893 
1 30 1000 300 1000 0.00038124082176388765 0.028630732598560096 0.9999999999999886 
1 30 1000 310 1000 0.0003570393014850001 0.028632129584128117 0.999999999999991 
1 30 1000 320 1000 0.00033506649046519924 0.028630911914329746 0.9999999999999895 
1 30 1000 330 1000 0.00031505601066802714 0.028631442420786586 0.9999999999999917 
1 30 1000 340 1000 0.00029678374097407133 0.02863129658812577 0.9999999999999891 
1 30 1000 350 1000 0.00028006335639374377 0.028630924781991956 0.9999999999999899 
1 30 1000 360 1000 0.0002647121610873554 0.028631402485451988 0.9999999999999885 
1 30 1000 370 1000 0.0002505881281653298 0.028631027565844812 0.999999999999989 
1 30 1000 380 1000 0.00023756187631672636 0.028631784117670568 0.9999999999999901 
1 30 1000 390 1000 0.0002255271777383664 0.028631441570664422 0.9999999999999883 
1 30 1000 400 1000 0.0002143853370304388 0.028632156194936483 0.9999999999999903 
1 30 1000 410 1000 0.00020404769281843948 0.02863204081714464 0.9999999999999896 
1 30 1000 420 1000 0.00019443902892169192 0.028632275689642248 0.9999999999999889 
1 30 1000 430 1000 0.00018549247230652328 0.028632436463775803 0.9999999999999898 
